trade_date,symbol,open,high,low,close,volume,amount,adj_factor,limit_up,limit_down
2024-01-11,000002.SZ,9.8,10.0,9.7,9.9,960400,9507960.0,1.0,10.67,8.73
2024-01-12,000002.SZ,9.78,9.97,9.68,9.87,962600,9500862.0,1.0,10.67,8.73
2024-01-15,000002.SZ,9.94,10.12,9.84,10.02,964800,9667296.0,1.0,10.86,8.88
2024-01-16,000002.SZ,10.08,10.24,9.98,10.14,967000,9805380.0,1.0,11.02,9.02
2024-01-17,000002.SZ,10.18,10.33,10.08,10.23,969200,9914916.0,1.0,11.15,9.13
2024-01-18,000002.SZ,10.26,10.39,10.16,10.29,971400,9995706.0,1.0,11.25,9.21
2024-01-19,000002.SZ,10.3,10.41,10.2,10.31,973600,10037816.0,1.0,11.32,9.26
2024-01-22,000002.SZ,10.3,10.4,10.2,10.3,975800,10050740.0,1.0,11.34,9.28
2024-01-23,000002.SZ,10.28,10.38,10.15,10.25,978000,10024500.0,1.0,11.33,9.27
2024-01-24,000002.SZ,10.21,10.31,10.07,10.17,980200,9968634.0,1.0,11.28,9.22
2024-01-25,000002.SZ,10.12,10.22,9.96,10.06,982400,9882944.0,1.0,11.19,9.15
2024-01-26,000002.SZ,9.99,10.09,9.82,9.92,984600,9767232.0,1.0,11.07,9.05
2024-01-29,000002.SZ,9.84,9.94,9.66,9.76,986800,9631168.0,1.0,10.91,8.93
2024-01-30,000002.SZ,9.68,9.78,9.49,9.59,989000,9484510.0,1.0,10.74,8.78
2024-01-31,000002.SZ,9.5,9.6,9.32,9.41,991200,9327192.0,1.0,10.55,8.63
2024-02-01,000002.SZ,9.32,9.41,9.13,9.22,993400,9159148.0,1.0,10.35,8.47
2024-02-02,000002.SZ,9.12,9.21,8.94,9.03,995600,8990268.0,1.0,10.14,8.3
2024-02-05,000002.SZ,8.94,9.03,8.76,8.85,997800,8830530.0,1.0,9.93,8.13
2024-02-06,000002.SZ,8.76,8.85,8.59,8.68,1000000,8680000.0,1.0,9.74,7.96
2024-02-07,000002.SZ,8.6,8.69,8.43,8.52,1002200,8538744.0,1.0,9.55,7.81
2024-02-08,000002.SZ,8.45,8.53,8.3,8.38,1004400,8416872.0,1.0,9.37,7.67
2024-02-09,000002.SZ,8.32,8.4,8.18,8.26,1006600,8314516.0,1.0,9.22,7.54
2024-02-12,000002.SZ,8.21,8.29,8.08,8.16,1008800,8231808.0,1.0,9.09,7.43
2024-02-13,000002.SZ,8.12,8.2,8.0,8.08,1011000,8168880.0,1.0,8.98,7.34
2024-02-14,000002.SZ,8.05,8.13,7.94,8.02,1013200,8125864.0,1.0,8.89,7.27
2024-02-15,000002.SZ,8.0,8.08,7.9,7.98,1015400,8102892.0,1.0,8.82,7.22
2024-02-16,000002.SZ,7.98,8.06,7.89,7.97,1017600,8110272.0,1.0,8.78,7.18
2024-02-19,000002.SZ,7.98,8.06,7.9,7.98,1019800,8138004.0,1.0,8.77,7.17
2024-02-20,000002.SZ,8.0,8.09,7.92,8.01,1022000,8186220.0,1.0,8.78,7.18
2024-02-21,000002.SZ,8.04,8.14,7.96,8.06,1024200,8255052.0,1.0,8.81,7.21
2024-02-22,000002.SZ,8.1,8.21,8.02,8.13,1026400,8344632.0,1.0,8.87,7.25
2024-02-23,000002.SZ,8.17,8.29,8.09,8.21,1028600,8444806.0,1.0,8.94,7.32
2024-02-26,000002.SZ,8.26,8.39,8.18,8.31,1030800,8565948.0,1.0,9.03,7.39
2024-02-27,000002.SZ,8.36,8.5,8.28,8.42,1033000,8697860.0,1.0,9.14,7.48
2024-02-28,000002.SZ,8.48,8.62,8.4,8.53,1035200,8830256.0,1.0,9.26,7.58
2024-02-29,000002.SZ,8.59,8.74,8.5,8.65,1037400,8973510.0,1.0,9.38,7.68
2024-03-01,000002.SZ,8.7,8.85,8.61,8.76,1039600,9106896.0,1.0,9.52,7.78
2024-03-04,000002.SZ,8.82,8.96,8.73,8.87,1041800,9240766.0,1.0,9.64,7.88
2024-03-05,000002.SZ,8.92,9.06,8.83,8.97,1044000,9364680.0,1.0,9.76,7.98
2024-03-06,000002.SZ,9.02,9.15,8.93,9.06,1046200,9478572.0,1.0,9.87,8.07
2024-03-07,000002.SZ,9.1,9.22,9.01,9.13,1048400,9571892.0,1.0,9.97,8.15
2024-03-08,000002.SZ,9.16,9.27,9.07,9.18,1050600,9644508.0,1.0,10.04,8.22
2024-03-11,000002.SZ,9.2,9.3,9.11,9.21,1052800,9696288.0,1.0,10.1,8.26
2024-03-12,000002.SZ,9.22,9.31,9.13,9.22,1055000,9727100.0,1.0,10.13,8.29
2024-03-13,000002.SZ,9.22,9.31,9.12,9.21,1057200,9736812.0,1.0,10.14,8.3
2024-03-14,000002.SZ,9.2,9.29,9.09,9.18,1059400,9725292.0,1.0,10.13,8.29
2024-03-15,000002.SZ,9.15,9.24,9.03,9.12,1061600,9681792.0,1.0,10.1,8.26
2024-03-18,000002.SZ,9.09,9.18,8.96,9.05,1063800,9627390.0,1.0,10.03,8.21
2024-03-19,000002.SZ,9.01,9.1,8.87,8.96,1066000,9551360.0,0.92,9.96,8.15
2024-03-20,000002.SZ,8.91,9.0,8.77,8.86,1068200,9464252.0,0.92,9.86,8.06
2024-03-21,000002.SZ,8.8,8.89,8.66,8.75,1070400,9366000.0,0.92,9.75,7.97
2024-03-22,000002.SZ,8.69,8.78,8.54,8.63,1072600,9256538.0,0.92,9.62,7.88
2024-03-25,000002.SZ,8.57,8.66,8.42,8.51,1074800,9146548.0,0.92,9.49,7.77
2024-03-26,000002.SZ,8.46,8.54,8.32,8.4,1077000,9046800.0,0.92,9.36,7.66
2024-03-27,000002.SZ,8.34,8.42,8.21,8.29,1079200,8946568.0,0.92,9.24,7.56
2024-03-28,000002.SZ,8.24,8.32,8.11,8.19,1081400,8856666.0,0.92,9.12,7.46
2024-03-29,000002.SZ,8.15,8.23,8.03,8.11,1083600,8787996.0,0.92,9.01,7.37
2024-04-01,000002.SZ,8.07,8.15,7.96,8.04,1085800,8729832.0,0.92,8.92,7.3
2024-04-02,000002.SZ,8.02,8.1,7.91,7.99,1088000,8693120.0,0.92,8.84,7.24
2024-04-03,000002.SZ,7.98,8.06,7.88,7.96,1090200,8677992.0,0.92,8.79,7.19
2024-04-04,000002.SZ,7.96,8.04,7.87,7.95,1092400,8684580.0,0.92,8.76,7.16
2024-04-05,000002.SZ,7.96,8.05,7.88,7.97,1094600,8723962.0,0.92,8.75,7.16
2024-04-08,000002.SZ,7.99,8.09,7.91,8.01,1096800,8785368.0,0.92,8.77,7.17
2024-04-09,000002.SZ,8.04,8.16,7.96,8.08,1099000,8879920.0,0.92,8.81,7.21
2024-04-10,000002.SZ,8.12,8.25,8.04,8.17,1101200,8996804.0,0.92,8.89,7.27
2024-04-11,000002.SZ,8.22,8.36,8.14,8.28,1103400,9136152.0,0.92,8.99,7.35
2024-04-12,000002.SZ,8.34,8.49,8.26,8.41,1105600,9298096.0,0.92,9.11,7.45
2024-04-15,000002.SZ,8.48,8.65,8.4,8.56,1107800,9482768.0,0.92,9.25,7.57
2024-04-16,000002.SZ,8.64,8.82,8.55,8.73,1110000,9690300.0,0.92,9.42,7.7
2024-04-17,000002.SZ,8.82,9.01,8.73,8.92,1112200,9920824.0,0.92,9.6,7.86
2024-04-18,000002.SZ,9.02,9.21,8.93,9.12,1114400,10163328.0,0.92,9.81,8.03
2024-04-19,000002.SZ,9.22,9.41,9.13,9.32,1116600,10406712.0,0.92,10.03,8.21
2024-04-22,000002.SZ,9.43,9.63,9.34,9.53,1118800,10662164.0,0.92,10.25,8.39
2024-04-23,000002.SZ,9.63,9.83,9.53,9.73,1121000,10907330.0,0.92,10.48,8.58
2024-04-24,000002.SZ,9.83,10.03,9.73,9.93,1123200,11153376.0,0.92,10.7,8.76
2024-04-25,000002.SZ,10.02,10.21,9.92,10.11,1125400,11377794.0,0.92,10.92,8.94
2024-04-26,000002.SZ,10.19,10.37,10.09,10.27,1127600,11580452.0,0.92,11.12,9.1
2024-04-29,000002.SZ,10.34,10.51,10.24,10.41,1129800,11761218.0,0.92,11.3,9.24
2024-04-30,000002.SZ,10.46,10.63,10.36,10.52,1132000,11908640.0,0.92,11.45,9.37
2024-05-01,000002.SZ,10.56,10.71,10.45,10.6,1134200,12022520.0,0.92,11.57,9.47
2024-05-02,000002.SZ,10.62,10.75,10.51,10.64,1136400,12091296.0,0.92,11.66,9.54
2024-05-03,000002.SZ,10.64,10.75,10.53,10.64,1138600,12114704.0,0.92,11.7,9.58
2024-05-06,000002.SZ,10.62,10.73,10.5,10.61,1140800,12103888.0,0.92,11.7,9.58
2024-05-07,000002.SZ,10.58,10.69,10.43,10.54,1143000,12047220.0,0.92,11.67,9.55
2024-05-08,000002.SZ,10.49,10.59,10.34,10.44,1145200,11955888.0,0.92,11.59,9.49
2024-05-09,000002.SZ,10.37,10.47,10.2,10.3,1147400,11818220.0,0.92,11.48,9.4
2024-05-10,000002.SZ,10.22,10.32,10.04,10.14,1149600,11656944.0,0.92,11.33,9.27
2024-05-13,000002.SZ,10.05,10.15,9.86,9.96,1151800,11471928.0,0.92,11.15,9.13
2024-05-14,000002.SZ,9.86,9.96,9.66,9.76,1154000,11263040.0,0.92,10.96,8.96
2024-05-15,000002.SZ,9.66,9.76,9.45,9.55,1156200,11041710.0,0.92,10.74,8.78
2024-05-16,000002.SZ,9.44,9.53,9.25,9.34,1158400,10819456.0,0.92,10.5,8.6
2024-05-17,000002.SZ,9.24,9.33,9.04,9.13,1160600,10596278.0,0.92,10.27,8.41
2024-05-20,000002.SZ,9.02,9.11,8.83,8.92,1162800,10372176.0,0.92,10.04,8.22
2024-05-21,000002.SZ,8.82,8.91,8.64,8.73,1165000,10170450.0,0.92,9.81,8.03
2024-05-22,000002.SZ,8.64,8.73,8.46,8.55,1167200,9979560.0,0.92,9.6,7.86
2024-05-23,000002.SZ,8.47,8.55,8.31,8.39,1169400,9811266.0,0.92,9.41,7.7
2024-05-24,000002.SZ,8.32,8.4,8.17,8.25,1171600,9665700.0,0.92,9.23,7.55
2024-05-27,000002.SZ,8.19,8.27,8.05,8.13,1173800,9542994.0,0.92,9.08,7.42
2024-05-28,000002.SZ,8.09,8.17,7.96,8.04,1176000,9455040.0,0.92,8.94,7.32
2024-05-29,000002.SZ,8.0,8.08,7.89,7.97,1178200,9390254.0,0.92,8.84,7.24
2024-05-30,000002.SZ,7.95,8.03,7.85,7.93,1180400,9360572.0,0.92,8.77,7.17
2024-05-31,000002.SZ,7.92,8.0,7.83,7.91,1182600,9354366.0,0.92,8.72,7.14
2024-06-03,000002.SZ,7.92,8.0,7.84,7.92,1184800,9383616.0,0.92,8.7,7.12
2024-06-04,000002.SZ,7.94,8.03,7.86,7.95,1187000,9436650.0,0.92,8.71,7.13
2024-06-05,000002.SZ,7.98,8.08,7.9,8.0,1189200,9513600.0,0.92,8.75,7.16
2024-06-06,000002.SZ,8.04,8.15,7.96,8.07,1191400,9614598.0,0.92,8.8,7.2
2024-06-07,000002.SZ,8.12,8.24,8.04,8.16,1193600,9739776.0,0.92,8.88,7.26
2024-06-10,000002.SZ,8.22,8.35,8.14,8.27,1195800,9889266.0,0.92,8.98,7.34
2024-06-11,000002.SZ,8.33,8.47,8.25,8.39,1198000,10051220.0,0.92,9.1,7.44
2024-06-12,000002.SZ,8.46,8.61,8.38,8.52,1200200,10225704.0,0.92,9.23,7.55
2024-06-13,000002.SZ,8.59,8.75,8.5,8.66,1202400,10412784.0,0.92,9.37,7.67
2024-06-14,000002.SZ,8.73,8.89,8.64,8.8,1204600,10600480.0,0.92,9.53,7.79
2024-06-17,000002.SZ,8.87,9.03,8.78,8.94,1206800,10788792.0,0.92,9.68,7.92
2024-01-02,000003.SZ,11.53,11.78,11.41,11.66,990000,11543400.0,1.0,12.54,10.26
2024-01-03,000003.SZ,11.52,11.76,11.4,11.64,992200,11549208.0,1.0,12.54,10.26
2024-01-04,000003.SZ,11.51,11.74,11.39,11.62,994400,11554928.0,1.0,12.54,10.26
2024-01-05,000003.SZ,11.5,11.72,11.38,11.6,996600,11560560.0,1.0,12.54,10.26
2024-01-08,000003.SZ,11.48,11.68,11.37,11.56,998800,11546128.0,1.0,12.54,10.26
2024-01-09,000003.SZ,11.46,11.65,11.35,11.53,1001000,11541530.0,1.0,12.54,10.26
2024-01-10,000003.SZ,11.44,11.6,11.33,11.49,1003200,11526768.0,1.0,12.54,10.26
2024-01-11,000003.SZ,11.43,11.57,11.32,11.46,1005400,11521884.0,1.0,12.54,10.26
2024-01-12,000003.SZ,11.41,11.53,11.3,11.42,1007600,11506792.0,1.0,12.54,10.26
2024-01-15,000003.SZ,11.39,11.5,11.27,11.38,1009800,11491524.0,1.0,12.54,10.26
2024-01-16,000003.SZ,11.38,11.49,11.24,11.35,1012000,11486200.0,1.0,12.54,10.26
2024-01-17,000003.SZ,11.36,11.47,11.2,11.31,1014200,11470602.0,1.0,12.54,10.26
2024-01-18,000003.SZ,11.34,11.45,11.17,11.28,1016400,11464992.0,1.0,12.54,10.26
2024-01-19,000003.SZ,11.33,11.44,11.15,11.26,1018600,11469436.0,1.0,12.54,10.26
2024-01-22,000003.SZ,11.32,11.43,11.13,11.24,1020800,11473792.0,1.0,12.54,10.26
2024-01-23,000003.SZ,11.31,11.42,11.11,11.22,1023000,11478060.0,1.0,12.54,10.26
2024-01-24,000003.SZ,11.12,11.23,10.92,11.03,1025200,11307956.0,1.0,12.34,10.1
2024-01-25,000003.SZ,10.93,11.04,10.73,10.84,1027400,11137016.0,1.0,12.13,9.93
2024-01-26,000003.SZ,10.74,10.85,10.54,10.65,1029600,10965240.0,1.0,11.92,9.76
2024-01-29,000003.SZ,10.56,10.67,10.37,10.47,1031800,10802946.0,1.0,11.72,9.59
2024-01-30,000003.SZ,10.39,10.49,10.21,10.31,1034000,10660540.0,1.0,11.52,9.42
2024-01-31,000003.SZ,10.24,10.34,10.06,10.16,1036200,10527792.0,1.0,11.34,9.28
2024-02-01,000003.SZ,10.09,10.19,9.93,10.03,1038400,10415152.0,1.0,11.18,9.14
2024-02-02,000003.SZ,9.98,10.08,9.83,9.93,1040600,10333158.0,1.0,11.03,9.03
2024-02-05,000003.SZ,9.89,9.99,9.75,9.85,1042800,10271580.0,1.0,10.92,8.94
2024-02-06,000003.SZ,9.82,9.92,9.7,9.8,1045000,10241000.0,1.0,10.84,8.86
2024-02-07,000003.SZ,9.78,9.88,9.67,9.77,1047200,10231144.0,1.0,10.78,8.82
2024-02-08,000003.SZ,9.77,9.87,9.67,9.77,1049400,10252638.0,1.0,10.75,8.79
2024-02-09,000003.SZ,9.78,9.89,9.68,9.79,1051600,10295164.0,1.0,10.75,8.79
